"source","target","source_description","target_description","contingency"
"AA","AA","Answer in the affirmative to yes/no question.","Answer in the affirmative to yes/no question.",0
"AA","AB","Answer in the affirmative to yes/no question.","Approve of appropriate behavior.",1
"AA","AC","Answer in the affirmative to yes/no question.","Answer calls/ show attentiveness to communications.",0
"AA","AD","Answer in the affirmative to yes/no question.","Agree to carry out an act requested or proposed by other.",0
"AA","AN","Answer in the affirmative to yes/no question.","Answer in the negative to yes/no question",0
"AA","AP","Answer in the affirmative to yes/no question.","Agree with proposition or proposal expressed by previous speaker",0
"AA","CL","Answer in the affirmative to yes/no question.","Call attention to hearer by name or by substitute exclamations",1
"AA","CM","Answer in the affirmative to yes/no question.","Commiserate express sympathy for hearer's distress.",0
"AA","CN","Answer in the affirmative to yes/no question.","Count.",1
"AA","CR","Answer in the affirmative to yes/no question.","Criticize or point out error in nonverbal act.",1
"AA","CS","Answer in the affirmative to yes/no question.","Counter-suggestion/ an indirect refusal.",0
"AA","CT","Answer in the affirmative to yes/no question.","Correct provide correct verbal form in place of erroneous one.",1
"AA","DC","Answer in the affirmative to yes/no question.","Create a new state of affairs by declaration",1
"AA","DP","Answer in the affirmative to yes/no question.","Declare make-believe reality.",1
"AA","DS","Answer in the affirmative to yes/no question.","Disapprove scold protest disruptive behavior.",1
"AA","DW","Answer in the affirmative to yes/no question.","Disagree with proposition expressed by previous speaker.",0
"AA","EA","Answer in the affirmative to yes/no question.","Elicit onomatopoeic or animal sounds.",1
"AA","EC","Answer in the affirmative to yes/no question.","Elicit completion of word or sentence.",1
"AA","ED","Answer in the affirmative to yes/no question.","Exclaim in disapproval.",1
"AA","EI","Answer in the affirmative to yes/no question.","Elicit imitation of word or sentence by modelling or by explicit command",1
"AA","EM","Answer in the affirmative to yes/no question.","Exclaim in distress pain.",1
"AA","ET","Answer in the affirmative to yes/no question.","Express enthusiasm for hearer's performance.",1
"AA","FP","Answer in the affirmative to yes/no question.","Ask for permission to carry out act.",1
"AA","GI","Answer in the affirmative to yes/no question.","Give in/ accept other's insistence or refusal.",0
"AA","GR","Answer in the affirmative to yes/no question.","Give reason/ justify a request for an action refusal or prohibition",1
"AA","MK","Answer in the affirmative to yes/no question.","Mark occurrence of event (thank greet apologize congratulate etc.).",1
"AA","OO","Answer in the affirmative to yes/no question.","Unintelligible vocalization.",0
"AA","PA","Answer in the affirmative to yes/no question.","Permit hearer to perform act.",1
"AA","PD","Answer in the affirmative to yes/no question.","Promise.",1
"AA","PF","Answer in the affirmative to yes/no question.","Prohibit/forbid/protest hearer's performance of an act",1
"AA","PM","Answer in the affirmative to yes/no question.","Praise for motor acts i.e for nonverbal behavior.",1
"AA","PR","Answer in the affirmative to yes/no question.","Perform verbal move in game.",1
"AA","QA","Answer in the affirmative to yes/no question.","Answer a question with a wh-question.",0
