index,utt_transcript_clean,response_transcript_clean,is_ack,utt_repetition_ratio,resp_repetition_ratio
1887378,boo.,boo.,1,1,1
2712312,that didn't work.,that didn't work.,1,1,0.25
531839,and this goes here.,"Fraser, you know where this goes.",0,1,0.166666666666667
2559621,lobster.,a lobster yep.,1,1,0.333333333333333
325489,Miss Miss Christopher.,Miss Miss Christian.,0,0.5,0.5
2152654,red light's on there.,oh no it's alright the red light being on that.,0,1,0.181818181818182
800485,oh here.,here we go.,0,0.5,0.333333333333333
194971,Aladdin.,Aladdin.,1,1,1
1920208,lying down.,lying down.,1,1,0.5
1424028,Ariel.,baby Ariel.,1,1,0.5
1350888,daddy.,daddy.,1,1,1
2617302,there a bug right?,it's not a bug it's a shell.,0,0.5,0.166666666666667
2438253,you can't catch me I'm the gingerbread man.,and the little old woman and the little old man ran and ran.,0,0.333333333333333,0.142857142857143
1018203,we can't go to sleep when it's dark.,we can go to sleep when it's dark.,0,1,0.333333333333333
1727343,down.,you wanna get down.,0,1,0.25
2951457,and a card.,and a card.,1,1,0.333333333333333
2411442,say red again.,red again.,0,0.5,0.5
1421275,are they white Mom?,I don't know because look this is white.,0,0.5,0.111111111111111
854630,then we say hip hip hooray.,hooray.,0,0.333333333333333,1
227733,red.,red.,1,1,1
2537476,is he.,he's not any of those guys.,0,0.5,0.142857142857143
314670,five.,five.,1,1,1
2360777,you hear me?,I didn't hear you.,0,1,0.2
1671278,yeah.,yeah.,1,1,1
2217966,a Bug.,oh a Bug that's right.,1,1,0.166666666666667
1875783,songs one please.,the songs one please.,1,1,0.75
429859,stay there.,stay there.,1,1,0.5
604539,there's one.,one honey bear.,0,1,0.333333333333333
630826,see I told you that's a hat.,that's not a hat.,0,0.333333333333333,0.2
1000886,good and good night Mummy.,and good night Helen.,0,0.666666666666667,0.5
1688273,beep beep.,beep beep yes.,1,1,0.5
689760,let's do it.,let's see.,0,1,0.333333333333333
1403323,it fell down.,it fell down.,1,1,0.333333333333333
343275,chair.,chair.,1,1,1
2143416,that's not very nice is it?,it isn't very nice.,1,1,0.2
1118024,good afternoon Laurren.,good afternoon Miss Miss Patrick.,0,0.666666666666667,0.5
1435373,it doesn't really cut it.,"no, doesn't really cut it.",1,1,0.333333333333333
1513847,raccoon.,raccoon.,1,1,1
785473,"I love you, Mummy.","I love you, Gina.",0,0.5,0.25
157579,yeah.,yeah.,1,1,1
1178676,what's that for?,that's for me.,0,0.75,0.75
